Year,district_name,gender,Total
2006,Alt-Wiedikon,F,7538
2006,Alt-Wiedikon,M,7693
2006,Altstetten,F,14402
2006,Altstetten,M,14466
2006,City,F,383
2006,City,M,462
2006,Enge,F,4231
2006,Enge,M,4136
2006,Escher Wyss,F,1313
2006,Escher Wyss,M,1674
2006,Fluntern,F,3930
2006,Fluntern,M,3449
2006,Friesenberg,F,5371
2006,Friesenberg,M,4971
2006,Gewerbeschule,F,4248
2006,Gewerbeschule,M,5487
2006,Hard,F,6164
2006,Hard,M,6344
2006,Hirslanden,F,3885
2006,Hirslanden,M,3019
2006,Hirzenbach,F,5821
2006,Hirzenbach,M,5384
2006,Hochschulen,F,310
2006,Hochschulen,M,401
2006,Hottingen,F,5448
2006,Hottingen,M,4732
2006,Höngg,F,11054
2006,Höngg,M,9963
2006,Langstrasse,F,4429
2006,Langstrasse,M,5903
2006,Leimbach,F,2623
2006,Leimbach,M,2321
2006,Lindenhof,F,451
2006,Lindenhof,M,504
2006,Mühlebach,F,2892
2006,Mühlebach,M,2657
2006,Oberstrass,F,5022
2006,Oberstrass,M,4676
2006,Oerlikon,F,10047
2006,Oerlikon,M,10271
2006,Rathaus,F,1411
2006,Rathaus,M,1686
2006,Saatlen,F,3484
2006,Saatlen,M,3211
2006,Schwamendingen-Mitte,F,5501
2006,Schwamendingen-Mitte,M,5136
2006,Seebach,F,10254
2006,Seebach,M,10503
2006,Seefeld,F,2440
2006,Seefeld,M,2402
2006,Sihlfeld,F,10498
2006,Sihlfeld,M,9816
2006,Unterstrass,F,10470
2006,Unterstrass,M,9489
2006,Weinegg,F,2597
2006,Weinegg,M,2219
2006,Werd,F,1818
2006,Werd,M,2047
2006,Wipkingen,F,7872
2006,Wipkingen,M,7520
2006,Witikon,F,5539
2006,Witikon,M,4419
2006,Wollishofen,F,8409
2006,Wollishofen,M,7178
2007,Affoltern,F,10695
2007,Affoltern,M,10253
2007,Albisrieden,F,9267
2007,Albisrieden,M,8260
2007,Alt-Wiedikon,F,7595
